time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.17929e-306	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.857749	0.830509	2.62367	0.198514	0.196967	radar	1776.96	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.96628	0.808883	2.60468	0.164983	0.160182	lidar	7.21223	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.12653	0.563153	4.33034	0.047136	0.12631	radar	209.999	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.35649	0.587431	4.35356	0.0522321	0.119919	lidar	4.11269	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.62747	0.538281	5.18009	0.00382065	0.0801423	radar	34.5651	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.9024	0.548272	5.20703	0.00231906	0.0702752	lidar	4.33914	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.15308	0.581112	5.17408	0.0396255	0.109207	radar	1.49147	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.42527	0.595209	5.19457	0.0397509	0.101482	lidar	2.72576	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.69499	0.601626	5.26005	0.0388245	0.0945749	radar	0.796257	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.96065	0.613411	5.26373	0.0430318	0.0939572	lidar	0.151066	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.24954	0.552788	5.26141	-0.00911636	0.0174727	radar	7.16185	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.53883	0.526938	5.29132	-0.0305779	-0.01193	lidar	8.29368	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.81068	0.559609	5.43939	-0.00393895	0.0306814	radar	4.91148	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.09578	0.556757	5.45358	-0.00615718	0.0271473	lidar	2.17248	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.34716	0.585073	5.23865	0.0128973	0.0528311	radar	4.07245	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.58825	0.625581	5.21555	0.0398846	0.0884293	lidar	6.48444	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.8322	0.630981	4.94969	0.0407896	0.0831562	radar	5.2875	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.10533	0.635224	4.9742	0.039042	0.0782083	lidar	8.0855	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.37948	0.64983	5.31429	0.0454411	0.083197	radar	6.12927	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.66641	0.662721	5.33399	0.0486269	0.0850437	lidar	6.05726	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	5.91765	0.59292	5.02214	0.00507564	0.00921583	radar	11.2877	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.17395	0.644536	5.02574	0.0341727	0.0552042	lidar	6.09855	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.42264	0.694127	5.01781	0.0600712	0.0909269	radar	1.93513	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.67927	0.70897	5.02348	0.0640776	0.0907686	lidar	0.500788	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	6.9162	0.694664	4.75952	0.0521181	0.0665201	radar	5.97965	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.14952	0.7513	4.75612	0.0800419	0.102824	lidar	2.2948	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.43955	0.767746	5.28211	0.081024	0.0972032	radar	18.3375	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.70953	0.775065	5.28766	0.0777117	0.085713	lidar	0.613533	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	7.9467	0.803879	4.90118	0.0873967	0.0932494	radar	10.0891	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.19379	0.828001	4.90407	0.0931878	0.0949702	lidar	0.146259	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.46878	0.96968	5.4007	0.158922	0.179624	radar	23.3651	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.73506	1.02096	5.40139	0.171807	0.185062	lidar	0.0485062	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.00541	1.06668	5.30114	0.181387	0.186985	radar	9.28892	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.26619	1.10056	5.29873	0.182959	0.176332	lidar	0.156646	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.53116	1.2066	5.33354	0.220154	0.214772	radar	6.52491	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.80304	1.30399	5.35261	0.249169	0.23931	lidar	3.94363	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.0328	1.42869	5.00716	0.296759	0.293977	radar	11.7784	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.2711	1.49322	5.00334	0.306368	0.287222	lidar	0.0892203	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.4913	1.58663	4.74996	0.334689	0.311423	radar	5.69464	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
